Фейри Тейл;https://readmanga.me/fairytail__A1b916d;https://static.readmanga.me/uploads/pics/00/75/243_p.jpg;['Масима Хиро', 'комедия', 'этти', 'сверхъестественное']
Сказания о демонах и богах;https://readmanga.me/tales_of_demons_and_gods;https://static.readmanga.me/uploads/pics/01/28/772_p.jpg;['комедия', 'боевые искусства', 'героическое фэнтези']
Ванпанчмен;https://readmanga.me/one_punch_man__A1bc88e;https://static.readmanga.me/uploads/pics/01/04/997_p.jpg;['комедия', 'боевик', 'сэйнэн']
Наруто;https://readmanga.me/naruto;https://static.readmanga.me/uploads/pics/00/05/756_p.jpg;['Кисимото Масаси', 'комедия', 'боевые искусства', 'психология']
Расколотая битвой синева небес;https://readmanga.me/battle_through_the_heavens;https://static.readmanga.me/uploads/pics/00/97/614_p.jpg;['комедия', 'боевые искусства', 'драма']
Башня Бога;https://readmanga.me/tower_of_god;https://static.readmanga.me/uploads/pics/00/99/917_p.jpg;['Siu', 'комедия', 'сверхъестественное', 'драма']
Шальные девчонки;https://readmanga.me/girl_the_wild_s;https://static.readmanga.me/uploads/pics/00/41/663_p.jpg;['комедия', 'боевые искусства', 'сёдзё']
Крушитель: Новые волны;https://readmanga.me/the_breaker__new_waves;https://static.readmanga.me/uploads/pics/00/08/030_p.jpg;['боевые искусства', 'этти', 'сверхъестественное']
Игрок;https://readmanga.me/the_gamer;https://static.readmanga.me/uploads/pics/01/03/915_p.jpg;['комедия', 'сверхъестественное', 'сёнэн']
Сегодня начнется наша любовь;https://readmanga.me/today__we_ll_start_our_love;https://static.readmanga.me/uploads/pics/01/17/816_p.jpg;['Минами Канан', 'комедия', 'драма', 'этти']
Ван Пис;https://readmanga.me/van_pis;https://static.readmanga.me/uploads/pics/00/76/146_p.jpg;['Ода Эйитиро', 'комедия', 'боевые искусства', 'психология']
Очень приятно, Бог;https://readmanga.me/nice_to_meet_you__kami_sama;https://static.readmanga.me/uploads/pics/01/15/296_p.jpg;['Сузуки Джульетта', 'комедия', 'сёдзё', 'сверхъестественное']
Блич;https://readmanga.me/bleach_;https://static.readmanga.me/uploads/pics/00/77/302_p.jpg;['Кубо Тайто', 'комедия', 'сверхъестественное', 'драма']
Их история;https://readmanga.me/their_story;https://static.readmanga.me/uploads/pics/01/17/331_p.jpg;['Тань Цзю', 'Студия Мосспака', 'комедия', 'повседневность', 'сёдзё-ай']
Поднятие уровня в одиночку;https://readmanga.me/podniatie_urovnia_v_odinochku;https://static.readmanga.me/uploads/pics/01/41/131_p.jpg;['Чан Сон Нак', 'Студия Redice', 'драма', 'сёнэн', 'фэнтези']
Тёмный дворецкий;https://readmanga.me/black_butler;https://static.readmanga.me/uploads/pics/00/97/785_p.jpg;['Тобосо Яна', 'комедия', 'психология', 'трагедия']
Л-ДК;https://readmanga.me/l_dk;https://static.readmanga.me/uploads/pics/01/02/732_p.jpg;['Ватанабэ Аю', 'комедия', 'драма', 'школа']
Хоримия;https://readmanga.me/horimiya;https://static.readmanga.me/uploads/pics/00/21/627_p.jpg;['комедия', 'сёнэн', 'школа']
Трон, отмеченный Богом;https://readmanga.me/sealed_divine_throne;https://static.readmanga.me/uploads/pics/00/50/931_p.jpg;['сверхъестественное', 'сёнэн', 'фэнтези']
Дневной звездопад;https://readmanga.me/daytime_shooting_star;https://static.readmanga.me/uploads/pics/01/00/948_p.jpg;['Ямамори Мика', 'комедия', 'драма', 'школа']
Томо-тян – девушка!;https://readmanga.me/tomo_chan_is_a_girl_;https://static.readmanga.me/uploads/pics/00/65/992_p.jpg;['Янагида Фумита', 'комедия', 'сёнэн', 'школа']
Клинок, рассекающий демонов;https://readmanga.me/klinok__rassekaiuchii_demonov;https://static.readmanga.me/uploads/pics/00/80/809_p.jpg;['Готоге Коёхару', 'боевые искусства', 'трагедия', 'сверхъестественное']
Итог;https://readmanga.me/at_the_end_of_the_road;https://static.readmanga.me/uploads/pics/01/17/949_p.jpg;['Харибо', 'психология', 'сёнэн-ай', 'сверхъестественное']
Идеальная парочка;https://readmanga.me/his_cheekiness_is_in_full_bloom;https://static.readmanga.me/uploads/pics/01/00/025_p.jpg;['Миюки Мицубати', 'комедия', 'школа', 'сёдзё']
Вельзевул;https://readmanga.me/beelzebub;https://static.readmanga.me/uploads/pics/01/06/634_p.jpg;['Тамура Рюхэй', 'комедия', 'боевые искусства', 'сверхъестественное']
Моя геройская академия;https://readmanga.me/my_hero_academia__A1be6f8;https://static.readmanga.me/uploads/pics/01/02/610_p.jpg;['Хорикоси Кохэи', 'комедия', 'сверхъестественное', 'драма']
Божественное тело по соседству;https://readmanga.me/god_looking_neighbor;https://static.readmanga.me/uploads/pics/00/55/099_p.jpg;['Сань Фу Дунмань', 'Пин Пин Цзюнь', 'комедия', 'сёдзё', 'повседневность']
Не сдавайся!;https://readmanga.me/ne_sdavaisia_;https://static.readmanga.me/uploads/pics/00/97/812_p.jpg;['Накамура Ёсики', 'комедия', 'драма', 'сёдзё']
Идеальный муж и я, или как украсть 55 поцелуев;https://readmanga.me/a_perfect_husband_and_i__or_how_steal_55_kisses;https://static.readmanga.me/uploads/pics/00/72/202_p.jpg;['психология', 'повседневность', 'драма']
Боевой континент I;https://readmanga.me/combat_continent;https://static.readmanga.me/uploads/pics/01/38/469_p.jpg;['боевые искусства', 'сёнэн', 'фэнтези']
Семь смертных грехов;https://readmanga.me/sem_smertnyh_grehov;https://static.readmanga.me/uploads/pics/00/22/643_p.jpg;['Судзуки Накаба', 'комедия', 'героическое фэнтези', 'сверхъестественное']
Восхождение Героя Щита;https://readmanga.me/voshojdenie_geroia_chita;https://static.readmanga.me/uploads/pics/01/19/209_p.jpg;['героическое фэнтези', 'драма', 'фэнтези']
½ Принц;https://readmanga.me/1_2_prince;https://static.readmanga.me/uploads/pics/00/01/443_p.jpg;['комедия', 'героическое фэнтези', 'сёдзё']
Мой парень – зверь!;https://readmanga.me/beast_boyfriend;https://static.readmanga.me/uploads/pics/00/25/279_p.jpg;['Аикава Саки', 'драма', 'школа', 'сёдзё']
Сыр в мышеловке;https://readmanga.me/cheese_in_the_trap;https://static.readmanga.me/uploads/pics/01/06/041_p.jpg;['Сун Кки', 'комедия', 'психология', 'повседневность']
Обмани меня!;https://readmanga.me/do_xx_to_me;https://static.readmanga.me/uploads/pics/01/06/990_p.jpg;['Тояма Эма', 'комедия', 'этти', 'сёдзё']
Легендарный лунный скульптор;https://readmanga.me/the_legendary_moonlight_sculptor;https://static.readmanga.me/uploads/pics/01/34/398_p.jpg;['комедия', 'боевые искусства', 'психология']
Президент студсовета — горничная!;https://readmanga.me/class_president_is_a_maid;https://static.readmanga.me/uploads/pics/01/04/135_p.jpg;['Фудзивара Хиро', 'комедия', 'сёдзё', 'повседневность']
О моём перерождении в слизь;https://readmanga.me/o_moem_pererojdenii_v_sliz;https://static.readmanga.me/uploads/pics/01/00/969_p.jpg;['комедия', 'героическое фэнтези', 'драма']
Перерождение: Монстр;https://readmanga.me/reincarnated__monster;https://static.readmanga.me/uploads/pics/01/04/446_p.jpg;['драма', 'гарем', 'фэнтези']
Неудержимая юность;https://readmanga.me/blue_spring_ride;https://static.readmanga.me/uploads/pics/00/15/106_p.jpg;['Сакисака Ио', 'комедия', 'драма', 'школа']
Апельсиновый мармелад;https://readmanga.me/orange_marmalade;https://static.readmanga.me/uploads/pics/00/19/218_p.jpg;['Кан Сок У', 'комедия', 'сёдзё', 'повседневность']
Учитель мафиози Реборн;https://readmanga.me/home_tutor_hitman_reborn;https://static.readmanga.me/uploads/pics/00/25/915_p.jpg;['Амано Акира', 'комедия', 'сверхъестественное', 'драма']
Чёрный Клевер;https://readmanga.me/chernyi_klever;https://static.readmanga.me/uploads/pics/00/52/275_p.jpg;['Табата Юки', 'комедия', 'драма', 'сёнэн']
Ты здесь;https://readmanga.me/you_re_here;https://static.readmanga.me/uploads/pics/01/37/246_p.jpg;['Ди. Цзюнь', 'сёнэн-ай', 'школа', 'романтика']
Д.Грэй-мен;https://readmanga.me/d_gray_man;https://static.readmanga.me/uploads/pics/01/31/816_p.jpg;['Хосино Кацура', 'комедия', 'трагедия', 'сверхъестественное']
Четыре рыцаря;https://readmanga.me/cartoon_hero;https://static.readmanga.me/uploads/pics/00/49/313_p.jpg;['Кочжирагун', 'комедия', 'боевые искусства', 'этти']
Техника Бога звёздных боевых искусств;https://readmanga.me/star_martial_god_technique;https://static.readmanga.me/uploads/pics/01/19/056_p.jpg;['комедия', 'боевые искусства', 'героическое фэнтези']
Песнь песка и моря: наложница фараона;https://readmanga.me/pharaoh_s_concubine;https://static.readmanga.me/uploads/pics/01/21/375_p.jpg;['дзёсэй', 'фэнтези', 'история']
Воспитание сбежавшей жены;https://readmanga.me/wicked_young_master_s_forceful_love__training_the_runaway_wife;https://static.readmanga.me/uploads/pics/00/79/915_p.jpg;['комедия', 'драма', 'дзёсэй']
Баскетбол Куроко;https://readmanga.me/kuroko_s_basketball;https://static.readmanga.me/uploads/pics/01/01/379_p.jpg;['Фудзимаки Тадатоси', 'комедия', 'драма', 'сёнэн']
Маги: Лабиринт волшебства;https://readmanga.me/magi___labyrinth_of_magic;https://static.readmanga.me/uploads/pics/00/08/398_p.jpg;['Отака Синобу', 'комедия', 'сверхъестественное', 'драма']
Бездомный Бог;https://readmanga.me/noragami__A1b916d;https://static.readmanga.me/uploads/pics/01/41/730_p.jpg;['Адати Тока', 'комедия', 'сверхъестественное', 'драма']
Рассвет Йоны;https://readmanga.me/rassvet_iony;https://static.readmanga.me/uploads/pics/01/05/852_p.jpg;['Кусанаги Мидзухо', 'комедия', 'психология', 'сёдзё']
Мне сказали, что я переродилась принцессой;https://readmanga.me/they_say_i_was_born_a_king_s_daughter;https://static.readmanga.me/uploads/pics/01/24/902_p.jpg;['комедия', 'дзёсэй', 'фэнтези']
Пик боевых искусств;https://readmanga.me/martial_peak;https://static.readmanga.me/uploads/pics/01/45/320_p.jpg;['Момо', 'боевые искусства', 'героическое фэнтези', 'фэнтези']
Заря Арканы;https://readmanga.me/dawn_of_the_arcana;https://static.readmanga.me/uploads/pics/00/34/097_p.jpg;['Тома Рэй', 'комедия', 'героическое фэнтези', 'сёдзё']
Невеста герцога по контракту;https://readmanga.me/nevesta_gercoga_po_kontraktu;https://static.readmanga.me/uploads/pics/01/15/801_p.jpg;['сёдзё', 'сверхъестественное', 'драма']
Любовь цыпленка;https://readmanga.me/a_shy_girl_in_love__A1be6f8;https://static.readmanga.me/uploads/pics/01/03/343_p.jpg;['Юкимару Моэ', 'комедия', 'драма', 'школа']
Воспитание дьявола;https://readmanga.me/raising_the_devil;https://static.readmanga.me/uploads/pics/00/90/053_p.jpg;['комедия', 'сёдзё', 'сверхъестественное']
Сердца Пандоры;https://readmanga.me/pandora_hearts;https://static.readmanga.me/uploads/pics/01/03/279_p.jpg;['Мотидзуки Дзюн', 'комедия', 'психология', 'трагедия']
Царь горы;https://readmanga.me/the_god_of_high_school;https://static.readmanga.me/uploads/pics/01/00/130_p.jpg;['Пак Ён Чже', 'комедия', 'боевые искусства', 'сёнэн']
Черная мгла;https://readmanga.me/black_haze;https://static.readmanga.me/uploads/pics/00/28/881_p.jpg;['Ён Ён', 'комедия', 'сверхъестественное', 'драма']
Шухер! У нас новый студент!;https://readmanga.me/transfer_student_the_storm_bringer;https://static.readmanga.me/uploads/pics/00/27/921_p.jpg;['Кан Нэнъ И', 'комедия', 'боевые искусства', 'сёнэн']
Королева со скальпелем;https://readmanga.me/koroleva_so_skalpelem;https://static.readmanga.me/uploads/pics/00/96/436_p.jpg;['сёдзё', 'фэнтези', 'романтика']
Однажды я стала принцессой;https://readmanga.me/odnajdy_ia_stala_princessoi;https://static.readmanga.me/uploads/pics/01/15/879_p.jpg;['драма', 'гарем', 'сёдзё']
100-процентно идеальная девушка;https://readmanga.me/100__perfect_girl;https://static.readmanga.me/uploads/pics/00/11/010_p.jpg;['Чи Ван', 'комедия', 'психология', 'сёдзё']
Вслед за Солнцем;https://readmanga.me/chasing_the_sun;https://static.readmanga.me/uploads/pics/00/87/979_p.jpg;['комедия', 'сёдзё', 'драма']
19 дней — Однажды;https://readmanga.me/19_days___one_day;https://static.readmanga.me/uploads/pics/00/79/477_p.jpg;['Олд Сянь', 'Студия Мосспака', 'комедия', 'сёнэн-ай', 'повседневность']
Дворянство;https://readmanga.me/noblesse;https://static.readmanga.me/uploads/pics/00/80/778_p.jpg;['комедия', 'трагедия', 'сверхъестественное']
Фейри Тейл;https://readmanga.me/fairytail__A1b916d;https://static.readmanga.me/uploads/pics/00/75/243_p.jpg;['Масима Хиро', 'комедия', 'этти', 'сверхъестественное']
Сказания о демонах и богах;https://readmanga.me/tales_of_demons_and_gods;https://static.readmanga.me/uploads/pics/01/28/772_p.jpg;['комедия', 'боевые искусства', 'героическое фэнтези']
Ванпанчмен;https://readmanga.me/one_punch_man__A1bc88e;https://static.readmanga.me/uploads/pics/01/04/997_p.jpg;['комедия', 'боевик', 'сэйнэн']
Наруто;https://readmanga.me/naruto;https://static.readmanga.me/uploads/pics/00/05/756_p.jpg;['Кисимото Масаси', 'комедия', 'боевые искусства', 'психология']
Расколотая битвой синева небес;https://readmanga.me/battle_through_the_heavens;https://static.readmanga.me/uploads/pics/00/97/614_p.jpg;['комедия', 'боевые искусства', 'драма']
Башня Бога;https://readmanga.me/tower_of_god;https://static.readmanga.me/uploads/pics/00/99/917_p.jpg;['Siu', 'комедия', 'сверхъестественное', 'драма']
Шальные девчонки;https://readmanga.me/girl_the_wild_s;https://static.readmanga.me/uploads/pics/00/41/663_p.jpg;['комедия', 'боевые искусства', 'сёдзё']
Крушитель: Новые волны;https://readmanga.me/the_breaker__new_waves;https://static.readmanga.me/uploads/pics/00/08/030_p.jpg;['боевые искусства', 'этти', 'сверхъестественное']
Игрок;https://readmanga.me/the_gamer;https://static.readmanga.me/uploads/pics/01/03/915_p.jpg;['комедия', 'сверхъестественное', 'сёнэн']
Сегодня начнется наша любовь;https://readmanga.me/today__we_ll_start_our_love;https://static.readmanga.me/uploads/pics/01/17/816_p.jpg;['Минами Канан', 'комедия', 'драма', 'этти']
Ван Пис;https://readmanga.me/van_pis;https://static.readmanga.me/uploads/pics/00/76/146_p.jpg;['Ода Эйитиро', 'комедия', 'боевые искусства', 'психология']
Очень приятно, Бог;https://readmanga.me/nice_to_meet_you__kami_sama;https://static.readmanga.me/uploads/pics/01/15/296_p.jpg;['Сузуки Джульетта', 'комедия', 'сёдзё', 'сверхъестественное']
Блич;https://readmanga.me/bleach_;https://static.readmanga.me/uploads/pics/00/77/302_p.jpg;['Кубо Тайто', 'комедия', 'сверхъестественное', 'драма']
Их история;https://readmanga.me/their_story;https://static.readmanga.me/uploads/pics/01/17/331_p.jpg;['Тань Цзю', 'Студия Мосспака', 'комедия', 'повседневность', 'сёдзё-ай']
Поднятие уровня в одиночку;https://readmanga.me/podniatie_urovnia_v_odinochku;https://static.readmanga.me/uploads/pics/01/41/131_p.jpg;['Чан Сон Нак', 'Студия Redice', 'драма', 'сёнэн', 'фэнтези']
Тёмный дворецкий;https://readmanga.me/black_butler;https://static.readmanga.me/uploads/pics/00/97/785_p.jpg;['Тобосо Яна', 'комедия', 'психология', 'трагедия']
Л-ДК;https://readmanga.me/l_dk;https://static.readmanga.me/uploads/pics/01/02/732_p.jpg;['Ватанабэ Аю', 'комедия', 'драма', 'школа']
Хоримия;https://readmanga.me/horimiya;https://static.readmanga.me/uploads/pics/00/21/627_p.jpg;['комедия', 'сёнэн', 'школа']
Трон, отмеченный Богом;https://readmanga.me/sealed_divine_throne;https://static.readmanga.me/uploads/pics/00/50/931_p.jpg;['сверхъестественное', 'сёнэн', 'фэнтези']
Дневной звездопад;https://readmanga.me/daytime_shooting_star;https://static.readmanga.me/uploads/pics/01/00/948_p.jpg;['Ямамори Мика', 'комедия', 'драма', 'школа']
Томо-тян – девушка!;https://readmanga.me/tomo_chan_is_a_girl_;https://static.readmanga.me/uploads/pics/00/65/992_p.jpg;['Янагида Фумита', 'комедия', 'сёнэн', 'школа']
Клинок, рассекающий демонов;https://readmanga.me/klinok__rassekaiuchii_demonov;https://static.readmanga.me/uploads/pics/00/80/809_p.jpg;['Готоге Коёхару', 'боевые искусства', 'трагедия', 'сверхъестественное']
Итог;https://readmanga.me/at_the_end_of_the_road;https://static.readmanga.me/uploads/pics/01/17/949_p.jpg;['Харибо', 'психология', 'сёнэн-ай', 'сверхъестественное']
Идеальная парочка;https://readmanga.me/his_cheekiness_is_in_full_bloom;https://static.readmanga.me/uploads/pics/01/00/025_p.jpg;['Миюки Мицубати', 'комедия', 'школа', 'сёдзё']
Вельзевул;https://readmanga.me/beelzebub;https://static.readmanga.me/uploads/pics/01/06/634_p.jpg;['Тамура Рюхэй', 'комедия', 'боевые искусства', 'сверхъестественное']
Моя геройская академия;https://readmanga.me/my_hero_academia__A1be6f8;https://static.readmanga.me/uploads/pics/01/02/610_p.jpg;['Хорикоси Кохэи', 'комедия', 'сверхъестественное', 'драма']
Божественное тело по соседству;https://readmanga.me/god_looking_neighbor;https://static.readmanga.me/uploads/pics/00/55/099_p.jpg;['Сань Фу Дунмань', 'Пин Пин Цзюнь', 'комедия', 'сёдзё', 'повседневность']
Не сдавайся!;https://readmanga.me/ne_sdavaisia_;https://static.readmanga.me/uploads/pics/00/97/812_p.jpg;['Накамура Ёсики', 'комедия', 'драма', 'сёдзё']
Идеальный муж и я, или как украсть 55 поцелуев;https://readmanga.me/a_perfect_husband_and_i__or_how_steal_55_kisses;https://static.readmanga.me/uploads/pics/00/72/202_p.jpg;['психология', 'повседневность', 'драма']
Боевой континент I;https://readmanga.me/combat_continent;https://static.readmanga.me/uploads/pics/01/38/469_p.jpg;['боевые искусства', 'сёнэн', 'фэнтези']
Семь смертных грехов;https://readmanga.me/sem_smertnyh_grehov;https://static.readmanga.me/uploads/pics/00/22/643_p.jpg;['Судзуки Накаба', 'комедия', 'героическое фэнтези', 'сверхъестественное']
Восхождение Героя Щита;https://readmanga.me/voshojdenie_geroia_chita;https://static.readmanga.me/uploads/pics/01/19/209_p.jpg;['героическое фэнтези', 'драма', 'фэнтези']
½ Принц;https://readmanga.me/1_2_prince;https://static.readmanga.me/uploads/pics/00/01/443_p.jpg;['комедия', 'героическое фэнтези', 'сёдзё']
Мой парень – зверь!;https://readmanga.me/beast_boyfriend;https://static.readmanga.me/uploads/pics/00/25/279_p.jpg;['Аикава Саки', 'драма', 'школа', 'сёдзё']
Сыр в мышеловке;https://readmanga.me/cheese_in_the_trap;https://static.readmanga.me/uploads/pics/01/06/041_p.jpg;['Сун Кки', 'комедия', 'психология', 'повседневность']
Обмани меня!;https://readmanga.me/do_xx_to_me;https://static.readmanga.me/uploads/pics/01/06/990_p.jpg;['Тояма Эма', 'комедия', 'этти', 'сёдзё']
Легендарный лунный скульптор;https://readmanga.me/the_legendary_moonlight_sculptor;https://static.readmanga.me/uploads/pics/01/34/398_p.jpg;['комедия', 'боевые искусства', 'психология']
Президент студсовета — горничная!;https://readmanga.me/class_president_is_a_maid;https://static.readmanga.me/uploads/pics/01/04/135_p.jpg;['Фудзивара Хиро', 'комедия', 'сёдзё', 'повседневность']
О моём перерождении в слизь;https://readmanga.me/o_moem_pererojdenii_v_sliz;https://static.readmanga.me/uploads/pics/01/00/969_p.jpg;['комедия', 'героическое фэнтези', 'драма']
Перерождение: Монстр;https://readmanga.me/reincarnated__monster;https://static.readmanga.me/uploads/pics/01/04/446_p.jpg;['драма', 'гарем', 'фэнтези']
Неудержимая юность;https://readmanga.me/blue_spring_ride;https://static.readmanga.me/uploads/pics/00/15/106_p.jpg;['Сакисака Ио', 'комедия', 'драма', 'школа']
Апельсиновый мармелад;https://readmanga.me/orange_marmalade;https://static.readmanga.me/uploads/pics/00/19/218_p.jpg;['Кан Сок У', 'комедия', 'сёдзё', 'повседневность']
Учитель мафиози Реборн;https://readmanga.me/home_tutor_hitman_reborn;https://static.readmanga.me/uploads/pics/00/25/915_p.jpg;['Амано Акира', 'комедия', 'сверхъестественное', 'драма']
Чёрный Клевер;https://readmanga.me/chernyi_klever;https://static.readmanga.me/uploads/pics/00/52/275_p.jpg;['Табата Юки', 'комедия', 'драма', 'сёнэн']
Ты здесь;https://readmanga.me/you_re_here;https://static.readmanga.me/uploads/pics/01/37/246_p.jpg;['Ди. Цзюнь', 'сёнэн-ай', 'школа', 'романтика']
Д.Грэй-мен;https://readmanga.me/d_gray_man;https://static.readmanga.me/uploads/pics/01/31/816_p.jpg;['Хосино Кацура', 'комедия', 'трагедия', 'сверхъестественное']
Четыре рыцаря;https://readmanga.me/cartoon_hero;https://static.readmanga.me/uploads/pics/00/49/313_p.jpg;['Кочжирагун', 'комедия', 'боевые искусства', 'этти']
Техника Бога звёздных боевых искусств;https://readmanga.me/star_martial_god_technique;https://static.readmanga.me/uploads/pics/01/19/056_p.jpg;['комедия', 'боевые искусства', 'героическое фэнтези']
Песнь песка и моря: наложница фараона;https://readmanga.me/pharaoh_s_concubine;https://static.readmanga.me/uploads/pics/01/21/375_p.jpg;['дзёсэй', 'фэнтези', 'история']
Воспитание сбежавшей жены;https://readmanga.me/wicked_young_master_s_forceful_love__training_the_runaway_wife;https://static.readmanga.me/uploads/pics/00/79/915_p.jpg;['комедия', 'драма', 'дзёсэй']
Баскетбол Куроко;https://readmanga.me/kuroko_s_basketball;https://static.readmanga.me/uploads/pics/01/01/379_p.jpg;['Фудзимаки Тадатоси', 'комедия', 'драма', 'сёнэн']
Маги: Лабиринт волшебства;https://readmanga.me/magi___labyrinth_of_magic;https://static.readmanga.me/uploads/pics/00/08/398_p.jpg;['Отака Синобу', 'комедия', 'сверхъестественное', 'драма']
Бездомный Бог;https://readmanga.me/noragami__A1b916d;https://static.readmanga.me/uploads/pics/01/41/730_p.jpg;['Адати Тока', 'комедия', 'сверхъестественное', 'драма']
Рассвет Йоны;https://readmanga.me/rassvet_iony;https://static.readmanga.me/uploads/pics/01/05/852_p.jpg;['Кусанаги Мидзухо', 'комедия', 'психология', 'сёдзё']
Мне сказали, что я переродилась принцессой;https://readmanga.me/they_say_i_was_born_a_king_s_daughter;https://static.readmanga.me/uploads/pics/01/24/902_p.jpg;['комедия', 'дзёсэй', 'фэнтези']
Пик боевых искусств;https://readmanga.me/martial_peak;https://static.readmanga.me/uploads/pics/01/45/320_p.jpg;['Момо', 'боевые искусства', 'героическое фэнтези', 'фэнтези']
Заря Арканы;https://readmanga.me/dawn_of_the_arcana;https://static.readmanga.me/uploads/pics/00/34/097_p.jpg;['Тома Рэй', 'комедия', 'героическое фэнтези', 'сёдзё']
Невеста герцога по контракту;https://readmanga.me/nevesta_gercoga_po_kontraktu;https://static.readmanga.me/uploads/pics/01/15/801_p.jpg;['сёдзё', 'сверхъестественное', 'драма']
Любовь цыпленка;https://readmanga.me/a_shy_girl_in_love__A1be6f8;https://static.readmanga.me/uploads/pics/01/03/343_p.jpg;['Юкимару Моэ', 'комедия', 'драма', 'школа']
Воспитание дьявола;https://readmanga.me/raising_the_devil;https://static.readmanga.me/uploads/pics/00/90/053_p.jpg;['комедия', 'сёдзё', 'сверхъестественное']
Сердца Пандоры;https://readmanga.me/pandora_hearts;https://static.readmanga.me/uploads/pics/01/03/279_p.jpg;['Мотидзуки Дзюн', 'комедия', 'психология', 'трагедия']
Царь горы;https://readmanga.me/the_god_of_high_school;https://static.readmanga.me/uploads/pics/01/00/130_p.jpg;['Пак Ён Чже', 'комедия', 'боевые искусства', 'сёнэн']
Черная мгла;https://readmanga.me/black_haze;https://static.readmanga.me/uploads/pics/00/28/881_p.jpg;['Ён Ён', 'комедия', 'сверхъестественное', 'драма']
Шухер! У нас новый студент!;https://readmanga.me/transfer_student_the_storm_bringer;https://static.readmanga.me/uploads/pics/00/27/921_p.jpg;['Кан Нэнъ И', 'комедия', 'боевые искусства', 'сёнэн']
